tahun,bulan,kode_valuta,nama_valuta,nilai_impor
2006,"Mei","TWD","Dolar Taiwan",106
2006,"Mei","USD","Dolar Amerika Serikat",5828573
2006,"Mei","Lainnya","Valuta lainnya",8794
2006,"Mei","Lainnya","Impor yang tidak dapat diklasifikasikan  1)",94000
2006,"Mei","Lainnya","Asuransi dan ongkos pengangkutan",559105
2006,"Juni","AED","Dirham Uni Emirat Arab",0
2006,"Juni","ATS","Schilling Austria",0
2006,"Juni","AUD","Dolar Australia",73557
2006,"Juni","BEF","Franc Belgia",0
2006,"Juni","BND","Dolar Brunei",0
2006,"Juni","CAD","Dolar Kanada",1552
2006,"Juni","CHF","Franc Swiss",11837
2006,"Juni","CNY","Yuan Renminbi China",0
2006,"Juni","DEM","Mark Jerman",0
2006,"Juni","DKK","Krone Denmark",1038
2006,"Juni","EUR","Euro",191255
2006,"Juni","FRF","Franc Perancis",0
2006,"Juni","GBP","Poundsterling Inggris",21115
